
Product,Price,Location,Price
"Jual 2 BR semi, harga rebahan, geranium, bassura @basura",Rp 425.000.000,"Jatinegara, Jakarta Timur",2 KT - 1 KM - 34 m2
Dijual Rumah Di Kayu manis Timur Matraman Salemba Cocok Rumah Kosan,Rp 2.500.000.000,"Matraman, Jakarta Timur",3 KT - 2 KM - 150 m2
KAISAR CISEENG 2 lT HUNIAN MILENIAL,Rp 395.000.000,"Jagakarsa, Jakarta Selatan",2 KT - 1 KM - 36 m2
Disewakan Apt Gading Nias 2 kamar tidur furnished,Rp 1.500.000,"Kelapa Gading, Jakarta Utara",2 KT - 1 KM - 35 m2
SEWA STUDIO GRATIS NETFLIX APARTEMEN GREEN PRAMUKA CITY,Rp 200.000,"Cempaka Putih, Jakarta Pusat",1 KT - 1 KM - 21 m2
rumah 2 lantai bogor kota,Rp 533.000.000,"Pasar Minggu, Jakarta Selatan",3 KT - 2 KM - 60 m2
Sewa apartemen harian Kalibata City,Rp 150.000,"Pancoran, Jakarta Selatan",1 KT - 1 KM - 24 m2
rumah 2 lantai bogor kota,Rp 530.000.000,"Pancoran, Jakarta Selatan",3 KT - 2 KM - 60 m2
Dijual Rumah Di Kayu manis Timur Matraman Salemba Cocok Rumah Kosan,Rp 2.500.000.000,"Matraman, Jakarta Timur",3 KT - 2 KM - 150 m2
DIJUAL RUMAH KOMERSIL AKORDEON KELAPA GADING,Rp 4.850.000.000,"Kelapa Gading, Jakarta Utara",>10 KT - 3 KM - 300 m2
Jual Apartemen Rasuna Sahid View City ( Renov ),Rp 1.500.000.000,"Setia Budi, Jakarta Selatan",2 KT - 3 KM - 81 m2
Fully Furnished Apartemen Studio Tamansari WTC Sudirman,Rp 5.000.000,"Setia Budi, Jakarta Selatan",1 KT - 1 KM - 29 m2
DIJUAL CEPAT RUMAH KELAPA GADING,Rp 6.500.000.000,"Kelapa Gading, Jakarta Utara",5 KT - 4 KM - 400 m2
DIJUJAL RUMAH SIAP PAKAI KELAPA GADING,Rp 7.500.000.000,"Kelapa Gading, Jakarta Utara",5 KT - 5 KM - 352 m2
grand alifia bogor kota rumah 2 lantai,Rp 533.000.000,"Mampang Prapatan, Jakarta Selatan",3 KT - 2 KM - 60 m2
"RUMAH HOOK  DUA LANTAI KEPADURI, PLAFON TINGGI",Rp 8.500.000.000,"Kebon Jeruk, Jakarta Barat",4 KT - 5 KM - 350 m2
rumah 2 lantai graha raya DP 0% DP suka suka,Rp 1.330.000.000,"Kebon Jeruk, Jakarta Barat",3 KT - 2 KM - 67 m2
DE’RUCI CLUSTER JAKARTA PUSAT,Rp 650.000.000,"Senen, Jakarta Pusat",2 KT - 2 KM - 42 m2
"Dijual cepat, Nego sampai deal! Apartemen Lokasi Strategis",Rp 2.000.000.000,"Grogol Petamburan, Jakarta Barat",3 KT - 2 KM - 65 m2
Bulanan & Harian Sewa Apartemen Green Pramuka City - Jakarta Pusat,Rp 300.000,"Cempaka Putih, Jakarta Pusat",2 KT - 1 KM - 33 m2
Dijual Apartemen permata eksekutif Jakarta barat Kebon jeruk jaksel,Rp 450.000.000,"Kebon Jeruk, Jakarta Barat",1 KT - 1 KM - 45 m2
Jual Rugi 2 Bedroom Termurah Best View Apartemen Podomoro Golf View,Rp 330.000.000,"Kebayoran Lama, Jakarta Selatan",2 KT - 1 KM - 36 m2
RUMAH DIJUAL MURAH,Rp 1.500.000.000,"Cakung, Jakarta Timur",3 KT - 2 KM - 130 m2
DIJUAL RUMAH KELAPA GADING NIAS,Rp 5.500.000.000,"Kelapa Gading, Jakarta Utara",4 KT - 3 KM - 300 m2
"Rumah Nempel Stasiun Dp 3 Jt All In, Cicilan 1 Jtan",Rp 235.000.000,"Tanah Abang, Jakarta Pusat",2 KT - 1 KM - 42 m2
Dijual Rumah Di Kayu manis Timur Matraman Salemba Cocok Rumah Kosan,Rp 2.500.000.000,"Matraman, Jakarta Timur",3 KT - 2 KM - 150 m2
DIJUAL RUMAH KELAPA GADING PELANGI,Rp 3.900.000.000,"Kelapa Gading, Jakarta Utara",3 KT - 3 KM - 208 m2
DIJUAL RUMAH STANDART KELAPA GADING,Rp 2.400.000.000,"Kelapa Gading, Jakarta Utara",4 KT - 3 KM - 180 m2
DIJUAL APARTEMEN SENTRA TIMUR AKSES DEPAN TOL,Rp 295.000.000,"Cakung, Jakarta Timur",2 KT - 1 KM - 36 m2
"Rumah Cluster . SENTUL INDAH RESIDENCE . Promo DP 1,7 Juta ALL IN",Rp 447.000.000,"Johar Baru, Jakarta Pusat",2 KT - 1 KM - 33 m2
RUMAH 2 lt SIAP HUNI READY STOCK,Rp 440.000.000,"Mampang Prapatan, Jakarta Selatan",2 KT - 1 KM - 36 m2
DIJUAL RUMAH KELAPA GADING,Rp 5.800.000.000,"Kelapa Gading, Jakarta Utara",4 KT - 4 KM - 400 m2
Rumah minimalis dekat stasiun Depok,Rp 220.000.000,"Jatinegara, Jakarta Timur",2 KT - 1 KM - 30 m2
Sewa apartemen harian Bassura City murah,Rp 150.000,"Jatinegara, Jakarta Timur",1 KT - 1 KM - 24 m2
DIJUAL CEPAT RUMAH HOEK PUAN KELAPA GADING,Rp 11.500.000.000,"Kelapa Gading, Jakarta Utara",5 KT - 5 KM - 500 m2
Rumah murah dekat stasiun Depok dan kampus UI,Rp 220.000.000,"Jatinegara, Jakarta Timur",2 KT - 1 KM - 30 m2
DIJUAL RUMAH SIAP HUNI KELAPA GADING,Rp 2.500.000.000,"Kelapa Gading, Jakarta Utara",4 KT - 2 KM - 170 m2
KPR terjangkau di citayam proses mudah angsuran 2jutaan akses mudah,Rp 405.000.000,"Jatinegara, Jakarta Timur",2 KT - 1 KM - 40 m2
Dijual Rumah Di Kayu manis Timur Matraman Salemba Cocok Rumah Kosan,Rp 2.500.000.000,"Matraman, Jakarta Timur",3 KT - 2 KM - 150 m2
Cluster Bintaro 2 lantai murah meriah,Rp 1.000.000.000,"Kebayoran Lama, Jakarta Selatan",3 KT - 2 KM - 85 m2
Di Jual Rumah Jakarta Nego sampe deal,Rp 2.000.000.000,"Kebon Jeruk, Jakarta Barat",5 KT - 4 KM - 290 m2
DISEWAKAN GREEN PRAMUKA APARTMEN FULL FURNISH LANTAI RENDAH HARGAMURAH,Rp 3.499.000,"Cempaka Putih, Jakarta Pusat",2 KT - 1 KM - 33 m2
Rumah Paviliun Premium (Tipe Studio),Rp 2.300.000,"Tebet, Jakarta Selatan",1 KT - 1 KM - 23 m2
Rumah Disewakan,Rp 1.600.000,"Kebon Jeruk, Jakarta Barat",1 KT - 1 KM - 40 m2
Sewa apartemen harian Green Pramuka Square murah,Rp 150.000,"Cempaka Putih, Jakarta Pusat",1 KT - 1 KM - 24 m2
DIJUAL RUMAH KELAPA GADING (JANUR KUNING),Rp 6.000.000.000,"Kelapa Gading, Jakarta Utara",4 KT - 3 KM - 360 m2
DIJUAL RUMAH KELAPA GADING,Rp 3.600.000.000,"Kelapa Gading, Jakarta Utara",5 KT - 5 KM - 179 m2
DIJUAL CEPAT RUMAH NIAS KELAPA GADING,Rp 3.500.000.000,"Kelapa Gading, Jakarta Utara",4 KT - 3 KM - 176 m2
DIJUAL RUMAH GADING GRANDE KELAPA GADING,Rp 3.500.000.000,"Kelapa Gading, Jakarta Utara",4 KT - 3 KM - 180 m2
Rumah Baru Tanjung Barat Jaksel,Rp 450.000.000,"Pasar Minggu, Jakarta Selatan",2 KT - 1 KM - 47 m2
Dijual Rumah di Pondok Indah Pinang Mas Kebayoran Lama Jakarta Selatan,Rp 5.500.000.000,"Kebayoran Lama, Jakarta Selatan",4 KT - 2 KM - 192 m2
DIJUAL RUMAH NIAS KELAPA GADING,Rp 3.700.000.000,"Kelapa Gading, Jakarta Utara",4 KT - 3 KM - 250 m2
rumah 2 lantai bogor kota,Rp 630.000.000,"Kebayoran Lama, Jakarta Selatan",3 KT - 2 KM - 72 m2
BONUS MENARIK DI BULAN KEMERDEKAAN DP 0%,Rp 720.000.000,"Kebayoran Lama, Jakarta Selatan",2 KT - 2 KM - 60 m2
Dijual Rumah Di Kayu manis Timur Matraman Salemba Cocok Rumah Kosan,Rp 2.500.000.000,"Matraman, Jakarta Timur",3 KT - 2 KM - 150 m2
"Rumah 2 lt siap huni, rapi di perum bumi bintaro permai Jaksel",Rp 3.000.000.000,"Pesanggrahan, Jakarta Selatan",3 KT - 2 KM - 230 m2
Rumah murah dekat stasiun Depok dan kampus UI,Rp 220.000.000,"Jatinegara, Jakarta Timur",2 KT - 1 KM - 30 m2
grand alifia bogor kota 2 lantai,Rp 465.000.000,"Kebayoran Baru, Jakarta Selatan",3 KT - 2 KM - 49 m2
DESAIN MENARIK RUMAH BEBAS DP,Rp 530.000.000,"Jagakarsa, Jakarta Selatan",2 KT - 1 KM - 40 m2
"Rumah Modern Minimalis 2 Lantai Tanjung Barat, Lenteng Agung",Rp 1.180.000.000,"Jagakarsa, Jakarta Selatan",3 KT - 2 KM - 110 m2
sewa transit harian apartemen green pramuka city grand pramuka,Rp 199.000,"Cempaka Putih, Jakarta Pusat",1 KT - 1 KM - 21 m2
